track_name,track_artist_name,track_album_type,track_album_name,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo
夜に駆ける,YOASOBI,SINGLE,夜に駆ける,2019-12-15,261013,False,77,0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041
Snowman,Sia,ALBUM,Everyday Is Christmas (Deluxe Edition),2018-11-01,165900,False,77,0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957
WARMISITAY,Milena Warthon,SINGLE,WARMISITAY,2022-05-06,204219,False,50,0.496,0.706,1,-5.806,1,0.666,0.643,0.0,0.332,0.765,188.026
Butterfly (Digimon),Inheres,ALBUM,"Anime Covers, Vol. 1",2020-12-20,96229,False,31,0.46,0.844,9,-8.125,1,0.0542,0.0123,0.000521,0.0306,0.577,165.051
Cupid - Twin Ver.,FIFTY FIFTY,SINGLE,The Beginning: Cupid,2023-02-24,174253,False,98,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018
this is what falling in love feels like - Leon Leiden Remix,JVKE,SINGLE,this is what falling in love feels like (Leon Leiden Remix),2022-05-06,120157,False,65,0.411,0.547,11,-4.815,1,0.0706,0.66,0.0,0.078,0.552,128.44
NIGHT DANCER,imase,ALBUM,POP CUBE,2022-11-09,210600,False,78,0.924,0.563,7,-7.899,0,0.0802,0.0879,0.0,0.103,0.872,117.06
Pegao,Camilo,SINGLE,Pegao,2022-05-19,160733,False,69,0.807,0.499,1,-4.733,0,0.0616,0.162,0.0,0.104,0.867,90.037
how deep?,Tai Verdes,ALBUM,HDTV,2022-09-16,154506,False,64,0.802,0.691,6,-6.973,0,0.0466,0.0989,2.29e-06,0.277,0.452,97.021
KICK BACK,Kenshi Yonezu,SINGLE,KICK BACK,2022-10-12,193495,False,84,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921
Olvida la Amargura (Ranma 1/2) - De Película,Jade,ALBUM,La Voz Más Dulce del Anime y Comic,2014-07-24,211022,False,46,0.726,0.879,0,-4.688,1,0.0665,0.558,5.4e-06,0.376,0.855,79.394
Ay Vida Mía,El Kanka,ALBUM,De Pana y Rubí,2015-11-13,223773,False,47,0.89,0.605,4,-6.99,1,0.0397,0.393,1.9e-06,0.134,0.926,134.957
Mayonaka no Door / Stay With Me,Miki Matsubara,ALBUM,Miki Matsubara Best Collection,2008,312293,False,78,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49e-06,0.0789,0.792,108.259
Into The Night,YOASOBI,ALBUM,E-SIDE,2021-11-12,259661,False,62,0.638,0.868,0,-5.701,0,0.0292,0.0112,0.0,0.342,0.824,130.046
Amor (Ft. Mon Laferte) - MTV Unplugged,Los Auténticos Decadentes,ALBUM,Fiesta Nacional (Mtv Unplugged),2018-10-05,312512,False,62,0.62,0.717,9,-7.165,0,0.0361,0.0274,0.0,0.708,0.601,92.881
World's Smallest Violin,AJR,ALBUM,OK ORCHESTRA,2021-03-26,180742,False,74,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962
Toy,Netta,SINGLE,Toy,2018-05-23,180230,False,66,0.786,0.712,3,-5.349,0,0.0678,0.0706,0.0,0.236,0.795,130.144
Un Pie Tras Otro Pie,Onda Vaselina,ALBUM,Entrega Total,1998,250066,False,60,0.774,0.497,9,-10.155,1,0.0426,0.0666,5.94e-06,0.136,0.956,97.972
Si Se Calla El Cantor (Juntxs por una #CulturaSegura),Ciudad Jara,SINGLE,Si Se Calla El Cantor (Juntxs por una #CulturaSegura),2020-11-05,204461,False,41,0.634,0.252,11,-15.307,0,0.0337,0.827,0.0,0.104,0.33,129.812
About Damn Time,Lizzo,SINGLE,About Damn Time,2022-04-14,191822,True,83,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
Gatita,Bellakath,SINGLE,Gatita,2022-10-05,153062,False,80,0.895,0.847,7,-5.25,1,0.0519,0.16,0.223,0.338,0.735,101.006
La Bachata,Manuel Turizo,SINGLE,La Bachata,2022-05-26,162637,False,90,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98
Koi,Gen Hoshino,ALBUM,POP VIRUS,2018-12-19,251266,False,56,0.598,0.819,9,-2.619,1,0.0911,0.00081,0.0,0.218,0.878,158.115
Amour plastique,Videoclub,ALBUM,Euphories,2021-01-29,227026,False,63,0.696,0.354,6,-14.043,0,0.0353,0.767,0.00158,0.128,0.242,119.938
Until I Found You,Stephen Sanchez,SINGLE,Until I Found You,2021-09-01,177720,False,86,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358
Butter-Fly (デジモンアドベンチャー全話OP),Sho Oosawa,COMPILATION,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「デジモンシリーズ」 vol.1,2015-05-15,257950,False,51,0.472,0.907,2,-4.545,1,0.0546,0.00116,0.0,0.0645,0.441,164.994
Ulysses and the Sea,Papooz,SINGLE,Papooz,2015-01-19,120165,False,65,0.882,0.161,8,-9.385,0,0.0458,0.913,0.0,0.128,0.698,106.105
If We Ever Broke Up,Mae Stephens,SINGLE,If We Ever Broke Up,2023-02-10,142758,True,88,0.898,0.732,7,-3.982,1,0.0427,0.621,1.29e-05,0.0908,0.96,115.955
Tears Dry On Their Own,Amy Winehouse,ALBUM,Back To Black,2006-10-27,185186,True,66,0.643,0.871,1,-2.734,0,0.118,0.491,0.0,0.29,0.452,121.569
残響散歌,Aimer,SINGLE,残響散歌,2021-12-06,184893,False,80,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863
Medialuna,Camilo,ALBUM,Por Primera Vez,2020-04-17,207545,False,58,0.818,0.201,0,-8.7,1,0.0456,0.832,0.0,0.105,0.769,110.003
Sin Despertar,Kudai,ALBUM,Vuelo,2004-01-01,195666,False,64,0.672,0.779,11,-5.249,1,0.0285,0.161,0.0,0.152,0.725,97.017
HandClap,Fitz and The Tantrums,ALBUM,Fitz and The Tantrums (Deluxe Edition),2017-07-24,193253,False,69,0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956
Sometimes,Mattyeux,SINGLE,Sometimes,2022-06-24,209746,False,49,0.566,0.52,7,-9.444,1,0.0345,0.456,0.00167,0.0938,0.44,171.885
Fluorescent Adolescent,Arctic Monkeys,ALBUM,Favourite Worst Nightmare (Standard Version),2007-04-24,173493,False,73,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115
ULTRA SOLO REMIX,Polimá Westcoast,SINGLE,ULTRA SOLO REMIX,2022-06-16,322347,False,81,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97
Nunca Tristes (Me Vale Madre),RENEE,SINGLE,Nunca Tristes (Me Vale Madre),2022-11-23,204826,True,71,0.726,0.544,2,-4.44,1,0.229,0.44,3.56e-05,0.124,0.613,178.117
When The Sun Goes Down,Arctic Monkeys,ALBUM,"Whatever People Say I Am, That's What I'm Not",2006-02-21,202133,True,63,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152
Roi,Videoclub,ALBUM,Euphories,2021-01-29,224226,False,59,0.704,0.467,9,-9.263,1,0.0342,0.559,0.00117,0.0947,0.29,107.993
Cómo Te Atreves,Dani J,ALBUM,Experiencias,2018-04-27,238602,False,30,0.711,0.491,4,-10.699,1,0.0307,0.685,0.0,0.21,0.951,131.023
光るなら,Goose house,ALBUM,Milk,2015-02-25,252133,False,71,0.491,0.879,6,-2.722,0,0.0652,0.391,0.0,0.342,0.571,160.092
ULTRA SOLO,Polimá Westcoast,SINGLE,ULTRA SOLO,2022-02-14,227220,False,78,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982
Vasos Vacíos - En Vivo,Los Fabulosos Cadillacs,COMPILATION,Fabulosos Exitos,2004,277893,False,36,0.706,0.683,7,-4.522,1,0.0357,0.353,1.65e-05,0.132,0.962,134.639
Fuentes de Ortiz,Baby Aventurero,SINGLE,Fuentes de Ortiz,2022-05-29,217595,False,35,0.787,0.79,1,-8.064,1,0.0359,0.268,2.57e-05,0.133,0.963,140.008
Understand,BoyWithUke,ALBUM,Serotonin Dreams,2022-05-06,171946,True,75,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051
My Sunny Day - Kina Remix,Ted Fresco,SINGLE,My Sunny Day (Kina Remix),2022-03-25,116053,False,49,0.587,0.342,10,-9.604,1,0.0477,0.638,7.84e-06,0.0983,0.345,89.836
Loco (Tu Forma De Ser),Los Auténticos Decadentes,ALBUM,El Milagro Argentino,1989-06-27,313000,False,73,0.742,0.61,9,-7.596,1,0.0853,0.175,0.0,0.0493,0.722,113.281
Quizás Quizás,Laurel Aitken,ALBUM,En Español,1999-09-15,155933,False,48,0.825,0.652,2,-8.031,0,0.0576,0.51,0.0,0.316,0.96,136.275
Talk Too Much,COIN,ALBUM,How Will You Know If You Never Try,2017-04-21,187133,False,73,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966
Rico Rico,Moral Distraida,SINGLE,Rico Rico,2020-07-10,214507,False,47,0.806,0.909,4,-5.681,1,0.0875,0.0671,0.0,0.0329,0.949,110.028
